name, type,
ko:K11540 ko:K11541 ko:K01954 ko:K01955 ko:K01956,ortholog,
cpd:C00169,compound,
ko:K01948,ortholog,
cpd:C00940,compound,
ko:K13566,ortholog,
cpd:C03912,compound,
ko:K00294 ko:K13821,ortholog,
ko:K00820,ortholog,
ko:K00764,ortholog,
cpd:C00352,compound,
cpd:C03090,compound,
path:map00530,map,
path:ko00230,map,
path:ko00240,map,
path:ko00330,map,
path:ko00340,map,
path:ko00910,map,
path:ko00471,map,
path:ko00480,map,
path:ko00860,map,
path:ko00460,map,
path:ko00650,map,
path:ko00660,map,
cpd:C00014,compound,
path:ko00250,map,
ko:K16871,ortholog,
ko:K00135,ortholog,
ko:K01437,ortholog,
ko:K18311 ko:K18310,ortholog,
cpd:C12270,compound,
cpd:C20776,compound,
ko:K18311,ortholog,
ko:K14592,ortholog,
ko:K14592,ortholog,
cpd:C00158,compound,
ko:K18310,ortholog,
cpd:C20775,compound,
ko:K18311,ortholog,
path:ko00630,map,
path:ko00261,map,
path:ko00220,map,
path:ko00130,map,
path:ko00940,map,
cpd:C16519,compound,
ko:K08680 ko:K14759,ortholog,
cpd:C03657,compound,
cpd:C06986,compound,
path:ko00400,map,
ko:K01661,ortholog,
ko:K01911 ko:K14760,ortholog,
ko:K02549 ko:K14759,ortholog,
ko:K02551 ko:K14759,ortholog,
ko:K00568,ortholog,
ko:K18800,ortholog,
ko:K03182 ko:K03186,ortholog,
ko:K06125,ortholog,
ko:K00568,ortholog,
ko:K00591,ortholog,
ko:K03181 ko:K18805 ko:K18240,ortholog,
ko:K01851 ko:K02552 ko:K02361 ko:K14759,ortholog,
cpd:C00885,compound,
cpd:C00156,compound,
cpd:C00399 cpd:C17568 cpd:C17569 cpd:C01967,compound,
cpd:C03160,compound,
cpd:C02730,compound,
cpd:C17554 cpd:C05200,compound,
cpd:C17559 cpd:C05313,compound,
cpd:C17552 cpd:C05812 cpd:C05802,compound,
cpd:C17560 cpd:C05803 cpd:C05813,compound,
cpd:C17561 cpd:C05804 cpd:C05814,compound,
cpd:C05848 cpd:C13425 cpd:C05809 cpd:C03885,compound,
cpd:C05807 cpd:C05810,compound,
cpd:C17551 cpd:C05811,compound,
cpd:C05817,compound,
cpd:C15547,compound,
ko:K12073 ko:K19222,ortholog,
cpd:C00544,compound,
cpd:C00811,compound,
ko:K01075,ortholog,
ko:K00457,ortholog,
ko:K03179,ortholog,
cpd:C00082,compound,
cpd:C01179,compound,
cpd:C03672,compound,
cpd:C00223,compound,
cpd:C02949,compound,
cpd:C05847 cpd:C01230 cpd:C04146 cpd:C04145 cpd:C17432,compound,
cpd:C05427,compound,
ko:K12502 ko:K18534,ortholog,
ko:K12502 ko:K18534,ortholog,
ko:K00815 ko:K00838,ortholog,
ko:K18606,ortholog,
ko:K01904,ortholog,
ko:K03183,ortholog,
ko:K03183,ortholog,
ko:K09834,ortholog,
ko:K02548,ortholog,
ko:K02548,ortholog,
cpd:C05818,compound,
cpd:C13309,compound,
cpd:C02059,compound,
cpd:C05427,compound,
cpd:C00828,compound,
cpd:C04146,compound,
path:ko00900,map,
ko:K05928,ortholog,
ko:K09834,ortholog,
ko:K05928,ortholog,
path:ko00900,map,
cpd:C04145,compound,
cpd:C17570,compound,
cpd:C14151,compound,
cpd:C02477,compound,
cpd:C16695,compound,
cpd:C14152,compound,
cpd:C15882,compound,
cpd:C02483,compound,
cpd:C15883,compound,
ko:K09833,ortholog,
path:ko00190,map,
ko:K06126,ortholog,
ko:K06127,ortholog,
ko:K06134,ortholog,
ko:K00591,ortholog,
ko:K03185,ortholog,
ko:K03183,ortholog,
ko:K03184,ortholog,
ko:K12501,ortholog,
path:ko00900,map,
cpd:C17562 cpd:C05805 cpd:C05815,compound,
cpd:C18131,compound,
cpd:C10793,compound,
cpd:C18132,compound,
cpd:C18133,compound,
cpd:C17412,compound,
cpd:C03993,compound,
cpd:C18135,compound,
cpd:C18134,compound,
cpd:C00341,compound,
ko:K13565,ortholog,
ko:K10106,ortholog,
ko:K05357,ortholog,
ko:K00355 ko:K03809 ko:K19267,ortholog,
cpd:C05849,compound,
cpd:C05819,compound,
ko:K00355 ko:K03809 ko:K19267,ortholog,
cpd:C03313,compound,
ko:K10106,ortholog,
cpd:C20265,compound,
ko:K05357,ortholog,
path:ko04610,map,
cpd:C00251,compound,
cpd:C16999,compound,
cpd:C17010,compound,
cpd:C17017,compound,
cpd:C17018,compound,
ko:K11783,ortholog,
ko:K11784,ortholog,
ko:K11785,ortholog,
ko:K18286,ortholog,
ko:K11782,ortholog,
ko:K18285,ortholog,
ko:K18284,ortholog,
cpd:C20772,compound,
cpd:C20773,compound,
cpd:C00423,compound,
ko:K00487,ortholog,
cpd:C00353,compound,
ko:K09834,ortholog,
ko:K05928,ortholog,
ko:K09834,ortholog,
ko:K05928,ortholog,
cpd:C14156,compound,
cpd:C14154,compound,
cpd:C20737,compound,
cpd:C14155,compound,
cpd:C20738,compound,
ko:K09833,ortholog,
ko:K12502 ko:K18534,ortholog,
cpd:C14153,compound,
path:ko00900,map,
path:ko00565,map,
ko:K08730,ortholog,
ko:K08729,ortholog,
path:ko00010,map,
ko:K00105,ortholog,
path:ko00563,map,
cpd:C06771,compound,
cpd:C06772,compound,
cpd:C00084,compound,
path:ko00561,map,
ko:K00649 ko:K13507,ortholog,
ko:K01004,ortholog,
ko:K13510 ko:K13512 ko:K13515 ko:K13519,ortholog,
ko:K00994 ko:K13644,ortholog,
ko:K00968,ortholog,
ko:K00866 ko:K14156,ortholog,
ko:K01049,ortholog,
ko:K00623,ortholog,
ko:K00967,ortholog,
ko:K00894 ko:K14156,ortholog,
ko:K01114 ko:K16619,ortholog,
ko:K16817 ko:K16818 ko:K01058,ortholog,
ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058,ortholog,
ko:K18694,ortholog,
ko:K00901 ko:K07029,ortholog,
ko:K01080 ko:K15728 ko:K18693,ortholog,
ko:K01115 ko:K16860 ko:K17717,ortholog,
ko:K16817 ko:K16818 ko:K01058,ortholog,
ko:K01115 ko:K16860 ko:K17717,ortholog,
ko:K18696 ko:K01126,ortholog,
ko:K17103 ko:K00998,ortholog,
ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058,ortholog,
ko:K13509 ko:K19007 ko:K13513 ko:K13517 ko:K13519 ko:K13523 ko:K00655 ko:K14674,ortholog,
ko:K00999,ortholog,
path:ko00260,map,
ko:K01114 ko:K16619,ortholog,
ko:K16817 ko:K16818 ko:K01058,ortholog,
ko:K06124,ortholog,
ko:K00629 ko:K13506 ko:K13507 ko:K00630 ko:K13508 ko:K00631 ko:K03621 ko:K08591,ortholog,
ko:K00006,ortholog,
ko:K00057,ortholog,
ko:K00111 ko:K00112 ko:K00113,ortholog,
ko:K00650,ortholog,
ko:K03735 ko:K03736 ko:K04019,ortholog,
ko:K01094 ko:K01095 ko:K01096 ko:K18697,ortholog,
ko:K18695,ortholog,
ko:K05929,ortholog,
ko:K00993 ko:K13644,ortholog,
ko:K06128 ko:K13333 ko:K01048 ko:K14621 ko:K14676,ortholog,
ko:K05929,ortholog,
ko:K05929,ortholog,
ko:K13512 ko:K13515 ko:K13517 ko:K13519,ortholog,
ko:K06130 ko:K01048 ko:K14621 ko:K14676,ortholog,
ko:K00981,ortholog,
ko:K06123,ortholog,
ko:K00980,ortholog,
path:ko00620,map,
path:ko00564,map,
ko:K06130 ko:K01048 ko:K14621 ko:K14676,ortholog,
ko:K01517,ortholog,
ko:K01613,ortholog,
ko:K06124,ortholog,
ko:K00570,ortholog,
ko:K18695,ortholog,
ko:K05939,ortholog,
ko:K18696 ko:K01126,ortholog,
ko:K06128 ko:K06129 ko:K13333 ko:K01048 ko:K14621 ko:K14676,ortholog,
ko:K00570,ortholog,
ko:K00551 ko:K16369 ko:K00570,ortholog,
ko:K01521,ortholog,
ko:K00995,ortholog,
path:ko00562,map,
ko:K06131 ko:K06132 ko:K08744,ortholog,
cpd:C00641,compound,
cpd:C01996,compound,
cpd:C04230,compound,
cpd:C00307,compound,
cpd:C00588,compound,
cpd:C00114,compound,
cpd:C00157,compound,
cpd:C00570,compound,
cpd:C01233,compound,
cpd:C00344,compound,
cpd:C03892,compound,
cpd:C00641,compound,
cpd:C01210,compound,
cpd:C13482,compound,
cpd:C03974,compound,
cpd:C00093,compound,
cpd:C00111,compound,
cpd:C00189,compound,
cpd:C03872,compound,
cpd:C00093,compound,
cpd:C00269,compound,
cpd:C01194,compound,
cpd:C00513,compound,
cpd:C00681,compound,
cpd:C00416,compound,
cpd:C00093,compound,
cpd:C03372,compound,
cpd:C05973,compound,
