q1,q2,edgeNum,pathwayNumber,ShortestPath,RunningTime
cpd:C01101,path:ko00260,10,6,"[(cpd:C01101 : cpd:C00231)- (cpd:C00231 : cpd:C00118)- (cpd:C00118 : cpd:C00111)- (cpd:C00111 : cpd:C03372)- (cpd:C03372 : cpd:C00681)- (cpd:C00681 : cpd:C00416)- (cpd:C00416 : ko:K00889)- (ko:K00889 : ko:K00888 ko:K13711)- (ko:K00888 ko:K13711 : ko:K01114 ko:K16619)- (ko:K01114 ko:K16619 : path:ko00260)]",1.618537,
ko:K00169 ko:K00170 ko:K00172 ko:K00171,cpd:C05535,14,7,"[(ko:K00169 ko:K00170 ko:K00172 ko:K00171 : ko:K00016)- (ko:K00016 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : cpd:C00022)- (cpd:C00022 : cpd:C20258)- (cpd:C20258 : cpd:C03972)- (cpd:C03972 : cpd:C05539)- (cpd:C05539 : cpd:C04390)- (cpd:C04390 : cpd:C00666)- (cpd:C00666 : cpd:C00680)- (cpd:C00680 : cpd:C00047)- (cpd:C00047 : cpd:C04076)- (cpd:C04076 : cpd:C00956)- (cpd:C00956 : cpd:C05560)- (cpd:C05560 : cpd:C05535)]",9.242219,
cpd:C05535,ko:K00169 ko:K00170 ko:K00172 ko:K00171,13,6,"[(cpd:C05535 : cpd:C04076)- (cpd:C04076 : cpd:C00956)- (cpd:C00956 : cpd:C00322)- (cpd:C00322 : cpd:C00527)- (cpd:C00527 : cpd:C00877)- (cpd:C00877 : cpd:C01144)- (cpd:C01144 : cpd:C00332)- (cpd:C00332 : cpd:C00024)- (cpd:C00024 : cpd:C00083)- (cpd:C00083 : ko:K08765 ko:K19523 ko:K19524)- (ko:K08765 ko:K19523 ko:K19524 : ko:K01897 ko:K15013)- (ko:K01897 ko:K15013 : path:ko00071)- (path:ko00071 : ko:K00169 ko:K00170 ko:K00172 ko:K00171)]",1.00227,
cpd:C05535,ko:K00169 ko:K00170 ko:K00172 ko:K00171,13,6,"[(cpd:C05535 : cpd:C04076)- (cpd:C04076 : cpd:C00956)- (cpd:C00956 : cpd:C00322)- (cpd:C00322 : cpd:C00527)- (cpd:C00527 : cpd:C00877)- (cpd:C00877 : cpd:C01144)- (cpd:C01144 : cpd:C00332)- (cpd:C00332 : cpd:C00024)- (cpd:C00024 : cpd:C00083)- (cpd:C00083 : ko:K08765 ko:K19523 ko:K19524)- (ko:K08765 ko:K19523 ko:K19524 : ko:K01897 ko:K15013)- (ko:K01897 ko:K15013 : path:ko00071)- (path:ko00071 : ko:K00169 ko:K00170 ko:K00172 ko:K00171)]",0.896063,
ko:K00169 ko:K00170 ko:K00172 ko:K00171,cpd:C05535,14,7,"[(ko:K00169 ko:K00170 ko:K00172 ko:K00171 : ko:K00016)- (ko:K00016 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : cpd:C00022)- (cpd:C00022 : cpd:C20258)- (cpd:C20258 : cpd:C03972)- (cpd:C03972 : cpd:C05539)- (cpd:C05539 : cpd:C04390)- (cpd:C04390 : cpd:C00666)- (cpd:C00666 : cpd:C00680)- (cpd:C00680 : cpd:C00047)- (cpd:C00047 : cpd:C04076)- (cpd:C04076 : cpd:C00956)- (cpd:C00956 : cpd:C05560)- (cpd:C05560 : cpd:C05535)]",13.167407,
ko:K00611,ko:K06660,17,8,"[(ko:K00611 : ko:K09065)- (ko:K09065 : ko:K01438)- (ko:K01438 : ko:K01940)- (ko:K01940 : path:ko00460)- (path:ko00460 : ko:K17103 ko:K00998)- (ko:K17103 ko:K00998 : ko:K00999)- (ko:K00999 : ko:K00888 ko:K13711)- (ko:K00888 ko:K13711 : ko:K01099)- (ko:K01099 : ko:K00922 ko:K02649)- (ko:K00922 ko:K02649 : ko:K04456)- (ko:K04456 : ko:K13296)- (ko:K13296 : cpd:C00575)- (cpd:C00575 : ko:K04345)- (ko:K04345 : ko:K09468)- (ko:K09468 : ko:K12764)- (ko:K12764 : ko:K12769)- (ko:K12769 : ko:K06660)]",10.52384,
ko:K01905,ko:K11229,9,6,"[(ko:K01905 : ko:K00169 ko:K00170 ko:K00172 ko:K00171)- (ko:K00169 ko:K00170 ko:K00172 ko:K00171 : path:ko00010)- (path:ko00010 : ko:K01834 ko:K01837)- (ko:K01834 ko:K01837 : ko:K03103)- (ko:K03103 : ko:K01106)- (ko:K01106 : ko:K00911)- (ko:K00911 : cpd:C00076)- (cpd:C00076 : ko:K02677)- (ko:K02677 : ko:K11229)]",9.420271,
ko:K04357,ko:K04456,3,2,"[(ko:K04357 : ko:K05083)- (ko:K05083 : ko:K00922 ko:K02649)- (ko:K00922 ko:K02649 : ko:K04456)]",0.117809,
ko:K10524,cpd:C00681,13,10,"[(ko:K10524 : ko:K03742 ko:K03743)- (ko:K03742 ko:K03743 : ko:K01513)- (ko:K01513 : path:ko00010)- (path:ko00010 : ko:K01834 ko:K01837)- (ko:K01834 ko:K01837 : ko:K03103)- (ko:K03103 : ko:K01106)- (ko:K01106 : ko:K01116 ko:K05857 ko:K05858 ko:K05859 ko:K05860 ko:K05861)- (ko:K01116 ko:K05857 ko:K05858 ko:K05859 ko:K05860 ko:K05861 : ko:K01110)- (ko:K01110 : cpd:C05981)- (cpd:C05981 : cpd:C04637)- (cpd:C04637 : cpd:C00641)- (cpd:C00641 : cpd:C01885)- (cpd:C01885 : cpd:C00681)]",10.491265,
cpd:C00681,ko:K10524,9,8,"[(cpd:C00681 : cpd:C00416)- (cpd:C00416 : ko:K00889)- (ko:K00889 : ko:K00888 ko:K13711)- (ko:K00888 ko:K13711 : ko:K01114 ko:K16619)- (ko:K01114 ko:K16619 : path:ko00260)- (path:ko00260 : ko:K03334)- (ko:K03334 : path:ko00960)- (path:ko00960 : ko:K01240)- (ko:K01240 : ko:K10524)]",4.936383,
